序号,单词,音标,词义
529,ferry,'feri,n．渡船
530,festival,'festəvəl,n．节日
531,fever,'fi:və,n．发烧；发热
532,few,fju:,"pron．不多；少数
adj.不多的；少数的"
533,field,'fi:ld,n．田地；牧场；场地
534,fight,fait,"v.& n.打仗；打架；争论
(fought，fought）"
535,figure,'fiɡə,n．（人的）体型，外形；数字
536,fill,fil,v．填空；装满；充满
537,film,film,n．电影；影片；胶卷
538,final,'fainl,adj．最后的；终极的
539,finally,'fainəli,adv．最后，最终
540,find,faɪnd,"v．找到；发现；发觉
（found，found）"
541,fine,fain,adj．晴朗的；美好的；（身体）健康的；
542,finger,'fiŋɡə,n．手指
543,finish,'finiʃ,v．结束；做完
544,fire,'faiə,"n．火；火炉；火灾
v.开火，开（枪，炮等），射击"
545,fireman,'faiəmən,n．消防队员
546,firework,'faiəwə:k,n．烟火
547,first,fə:st,"adj．第一的；最初的
adv．第一；首先；最初
n.开始；开端"
548,fish,fiʃ,"n．鱼；鱼肉
v．钓鱼；捕鱼"
549,fisherman,'fiʃəmən,n．渔夫，渔民
550,fit,'fit,"v．（使）适合，与……相配
adj.健康的，合适的
（fit，fit；fitted，fitted）"
551,fix,fiks,v．修理；安装
552,flag,flæɡ,n．旗；旗舰
553,flash,flæʃ,n.闪；闪光；转瞬间
554,flat,flæt,n．一套房间；公寓
555,flight,flait,n．航班；飞行
556,flood,flʌd,n.洪水，水灾
557,floor,flɔ:,n．地面，地板；（楼房的）层
558,flower,'flauə,n．花
559,fly,flai,"v．飞；飞行；乘飞机旅行；（旗子等）飘动
v.放（风筝、飞机模型等）
n.飞行；苍蝇
（flew，flown）"
560,focus,'fəukəs,v．集中
561,follow,'fɔləu,v．听从；跟随；仿效；跟得上；遵守
562,following,'fɔləuiŋ,adj．下列的；接着的；以下的
563,fond,fɔnd,adj.喜爱的
564,food,fu:d,n．食物，食品
565,fool,fu:l,"v．愚弄；欺骗
n.傻子"
566,foolish,'fu:liʃ,adj．愚蠢的；傻的
567,foot,fut,n．脚，足；英尺（复feet)
568,football,"'fut,bɔ:l",n．（英式）足球；（美式）橄榄球
569,for,"强 fɔ:, 弱fə","prep．1.（说明目、用途等）为了……
2.（表示方向）向；
3.（表示时间，距离等）计；
4．（表示原因）因为……
5．（表示对象）对……来说
conj.因为，由于"
570,forecast,'fɔ:kɑ:st,n．& v．预告，预报
571,foreign,'fɔrin,adj．外国的
572,foreigner,'fɔrinə,n．外国人
573,forest,'fɔrist,n．森林
574,forever,fə'revə,adv．永远；永恒的
575,forget,fə'gɛt,"v．忘记；忘掉
（forgot，forgotten) "
576,forgetful,fə'ɡetful,adj．健忘的
577,fork,fɔ:k,n．叉
578,form,fɔ:m,n.形式，方式
579,forward,'fɔ:wəd,adv．向前，前进；今后
580,fountain,'fauntin,n．喷泉
581,France,frɑ:ns,n．法国
582,free,fri:,adj．自由的；空闲的；免费的
583,freedom,'fri:dəm,n．自由
584,freeze,fri:z,"v．结冰
（froze，frozen）"
585,freezing,'fri:ziŋ,adj．结冰的；极冷的
586,French,frentʃ,"adj．法国的，法国人的；法语的
n.法国人；语"
587,fresh,freʃ,adj．新鲜的
588,Friday,'fraidi,n．星期五
589,fridge,fridʒ,n．冰箱
590,fried,fraid,adj.油煎的
591,friend,frend,n．朋友
592,friendly,'frendli,adj．朋友般的；友好的
593,friendship,'frendʃip,n．友谊
594,frighten,'fraitən,v．使害怕
595,frightened,'fraitnd,adj．受惊吓的；吃惊的
596,frightening,'fraitəniŋ,adj．恐怖的
597,from,"强frɔm, 弱frəm","prep．1．（表示起点）从；自 
2．（表示时间）从……开始
3．（表示距离）距……；离……
4.（表示来源）来自"
598,front,frʌnt,"n．前面；前部；前线
adj.前面的；前部的"
599,frozen,'frəuzn,adj．冰冻的
600,fruit,fru:t,n．水果；果实
601,fuel,'fjuəl,n．燃料
602,full,ful,adj．满的，充满的；完全的
603,fun,fʌn,n．乐趣；有趣的事；娱乐，玩笑
604,funny, ˈfʌni,adj．滑稽的；可笑的
605,furniture,'fə:nitʃə,n．（总称）家具
606,future,'fju:tʃə,n．将来，未来
607,gain,ɡein,v．获得，得到
608,game,ɡeim,n．游戏；运动；比赛
609,garden,'ɡɑ:dn,n．花园，果园，菜园
610,gas,ɡæs,n．气态；气体；煤气
611,gate,ɡeit,n．大门
612,general, ˈdʒɛnərəl,adj．大体的，笼统的，总的
613,generation,",dʒenə'reiʃən",n.代，一代
614,generous,'dʒenərəs,adj.慷慨的；大方的
615,gentle,'dʒentl,adj.温柔的，轻轻的
616,gentleman, ˈdʒɛntlmən,n．绅士；先生
617,gently,'dʒentli,adv．轻柔的
618,geography,dʒi'ɔɡrəfi,n．地理
619,German,'dʒə:mən,"n．德国人；德语
adj.德国的；德国人的；德语的"
620,Germany,'dʒə:məni,n．德国
621,get, ɡɛt,"v．成为；变得；得到；到达；
（用于have got短语中）具有
（got，got/gotten）"
622,gift,ɡift,n.赠品；礼物
623,girl, gɜ:rl,n．女孩
624,give,ɡiv,"v．给；递给；付出；给予
（gave，given）"
625,glad,ɡlæd,adj．高兴的；乐意的
626,glass,"ɡlɑ:s, ɡlæs",n．玻璃；玻璃杯；（复）眼镜
627,go, ,"v．去；走；驶；通到；达到
（went，gone）"
628,goal,ɡəul,n．目标
629,gold,ɡəuld,n．黄金
630,golden,'ɡəuldən,adj．金色的
631,good,ɡud,"adj．好；良好
（比较级better，最高级best）"
632,government,'ɡʌvənmənt,n．政府
633,grade,ɡreid,n．等级；（中小学的）学年；成绩，分数
634,graduate,"'ɡrædʒuət, -eit, 'ɡrædjueit, -dʒu-","v．毕业
n.大学毕业生"
635,grandma,'ɡrændmɑ:,n．奶奶；外婆(=grandmother )
636,grandpa,'ɡrændpɑ:, n．爷爷；外公(=grandfather)
637,grass,"ɡrɑ:s, ɡræs",n．草；草场；牧草
638,great,ɡreit,adj．伟大的；重要的；（口语）美妙的；很好
639,green,ɡri:n,"n．绿色
adj.绿色的；青的"
640,greenhouse,'ɡri:nhaus,n.温室，暖房
641,greet,ɡri:t,v.问候；向……致敬
642,ground, ɡraʊnd,n．地面
643,group,ɡru:p,n．组，群
644,grow,ɡrəu,"v.生长；发育；种植；变成
（grew，grown）"
645,guess, ɡɛs,v．猜测；推测
646,guest,ɡest,n．客人，宾客
647,guide,ɡaid,n．向导，导游；指南
648,gun, ɡʌn,n．枪，炮
649,habit,'hæbit,n．习惯
650,hair,hεə,n．头发
651,half,"hɑ:f, hæf",adj.& n．半，一半，半个
652,hall,hɔl,n．大厅，会堂，礼堂
653,hamburger,ˈhæmbɜ:rgə®,n．汉堡包
654,hand,hænd,"n．手；指针
v．递；给；交付；交进"
655,hang,'hæŋ,"v．悬挂；把……吊起(hung，hung）
 v. 处绞刑；上吊(hanged,hanged)"
656,happen,'hæpən,v．（偶然）发生；碰巧
657,happily,'hæpili,adv.幸福地；快乐地，高兴地
658,happy,'hæpi,adj．幸福的；快乐的，高兴的
659,hard,hɑ:d,"adj．硬的；困难的；艰难的
adv．努力地；使劲；猛烈地"
660,hardly,'hɑ:dli,adv．几乎不
661,hardworking,"'hɑ:d,wə:kiŋ",adj．努力工作的
662,harmful,'hɑ:mful,adj．有害的
663,hat,hæt,n．帽子
664,hate,heit,v．& n.不喜欢；恨；讨厌
665,have,"hæv, 弱həv, əv, v","v．有；吃；喝；进行
（had，had）"
666,head,hed,n．头；头脑；首脑
667,headache,'hedeik,n．头痛
668,headline,'hedlain,n．（报刊的）大字标题
669,headmaster,"'hed'mɑ:stə, -mæstə",n．（英）中小学校长
670,health,helθ,n．健康
671,healthy,'helθi,adj．健康的
672,hear,hiə,"v. 听见；听说；得知
(heard，heard）"
673,heart,hɑ:t,n．心；心脏
674,heat,hi:t,"n．热度，热量
v．加热"
675,heavily,'hevili,adv．沉重地；大量地
676,heavy, ˈhɛvi,adj．重的
677,height,hait,n．高度
678,hello,"he'ləu, hə-",int．喂；你好
679,help,help,v．＆ n．帮助，帮忙
680,helpful,'helpful,adj．有帮助的，有益的
681,here,hiə,adv．这里，在这里；向这里
682,hero,'hiərəu,v.英雄，勇士，男主角
683,hesitate,'heziteit,v．犹豫，踌躇
684,hide,haid,"v．把……藏起来，隐藏
（hid,hidden）"
685,high,hai,adj．高的
686,hill,hil,n．小山
687,historical,his'tɔrikəl,adj．历史的，历史上
688,history,'histəri,n．历史
689,hit,hit,"v．打，撞，击中，碰撞
（hit，hit）"
690,hobby,'hɔbi,n．兴趣；嗜好
691,hold, hoʊld,"v．1．拿；抱；握住2．举行；进行
3．保持 4．容纳
（held，held）"
692,hole,həul,n．洞，坑
693,holiday,'hɔlədi,n．假日；假期
694,home,həum,"n．家
adv．在家；到家；回家"
695,homeless,'həumlis,adj．无家可归的
696,homework,'həumwə:k,n．家庭作业
697,honest,'ɔnist,adj．诚实的；正直的
698,honesty,'ɔnisti,n．诚实
699,honey,'hʌni,n．蜂蜜
700,honor,'ɔnə,n.荣誉，光荣
701,hope,həup,v．& n.希望
702,horrible,'hɔrəbl,adj.令人恐惧的；恐怖的
703,horse,hɔ:s,n．马
704,hospital,'hɔspitəl,n．医院
705,host,həust,n．主人；节目主持人
706,hot,hɔt,adj．热的
707,hot-dog, 'hɔtdɔg,n．热狗
708,hotel,həu'tel,n．旅馆，宾馆
709,hour,auə,n．小时
710,house,"haus, hauz",n．房子；住宅；家
711,housework,'hauswə:k,n．家务活
712,how,hau,"adv．1．（方法、手段、状态）怎样；如何
2．（程度、数量、价钱）多少
3．（感叹）多么"
713,however, haʊ'evə,"adv． 可是
conj．然而，可是，尽管如此"
714,huge,hju:dʒ,adj．巨大的，庞大的
715,human,'hju:mən,"adj．人的，人类的
n.（＝human being）人类"
716,hungry,'hʌŋɡri,adj．饥饿的
717,hunt,hʌnt,v．寻找；猎取
718,hurry, 'hʌrɪ,"v．赶快；急忙
n.赶紧；急忙"
719,hurt,hə:t,"v．伤害；痛；使受伤痛
（hurt，hunt）"
720,husband,'hʌzbənd,n．丈夫
721,ice,[ais],n．冰
722,ice-cream,'aiskri:m,n．冰淇淋
723,idea,"ai'diə, 'ai'diə",n．主意，意见，打算，想法
724,if,if,"conj．1．（连接状语从句）如果；假使
2．（连接宾语从句）是否；是不是"
725,ill,il,adj．有病的；不健康的
726,illness,'ilnis,n.疾病
727,imagine,i'mædʒin,v.想象，设想
728,immediately,i'mi:diətli,adv．立即，马上
729,importance,im'pɔ:təns,n．重要性
730,important,im'pɔ:tənt,adj．重要的
731,impossible,im'pɔsəbl,adj．不可能的
732,improve,im'pru:v,v．改进，更新
733,in,in,"prep．1．在……（位置）里（内）；
2．在……（时间）
3．在……（情况、状态）中
4．以……（方法）；使用……（语言）
5．穿；戴"
734,inch,intʃ,n．英寸
735,include,in'klu:d,v.包括；包含
736,income,'inkʌm,n.收入，所得
737,increase,"in'kri:s, 'inkri:s",v.&n.增加
738,independent,",indi'pendənt",adj.独立的；有主见的
739,indoor,'indɔ:,adj．室内的
740,industry,'indəstri,n.工业，产业
741,information,",infə'meiʃən",n．信息，情报，资料
742,ink,iŋk,n．墨水，油墨
743,inside,",in'said, 'in-","prep．在……里面
adv．在里面"
744,instead, ɪn'sted,adv．代替，顶替
745,interest,"'intrist, 'intər-",n．兴趣；趣味
746,interested,"'intristid, 'intər-",adj．感兴趣的
747,interesting,ˈɪntrɪstɪŋ，ˈɪntrəstɪŋ,adj．有趣的；有意思的
748,international, ɪntə'næʃ(ə)n(ə)l,adj．国际的
749,Internet,'intənet,n.因特网，互联网
750,interview,'intəvju:,v．＆ n．采访，会见，面试
751,into,"'intu:, -tu, -tə","prep．1．（动作方向）到……里；向内
2．（表示情况和结果的变化）变成"
752,introduce,",intrə'dju:s",v．介绍
753,invent,in'vent,v．发明，创造
754,invention,in'venʃən,n．发明，创造
755,inventor,in'ventə,n．发明家，创造者
756,investigate,in'vestiɡeit,v.调查
757,invitation, ɪnvɪ'teɪʃ(ə)n,n．邀请，请帖
758,invite,"in'vait, 'invait",v．邀请
759,iron,'aiən,n．铁
760,island,'ailənd,n．岛
761,Italian,i'tæljən,"n．意大利人；意大利语
adj.意大利人的；意大利语的"
762,Italy,'itəli,n．意大利
763,item, 'aɪtəm,n．项目；节目
764,jacket, 'dʒækɪt,n．短上衣，夹克衫
765,jam,dʒæm,n．果酱；阻塞
766,January,'dʒænjuəri,n．一月
767,Japan,dʒə'pæn,n．日本
768,Japanese,",dʒæpə'ni:z","n．日本人；日语
adj.日本的；日语的；日本人的"
769,jeans,dʒi:nz,n．牛仔裤
770,job,dʒɔb,n．工作
771,join,dʒɔin,v．参加，加入；连接
772,joke,dʒəuk,"n．笑话
v．开玩笑"
773,journalist,'dʒə:nəlist,n.记者，新闻工作者
774,journey,'dʒə:ni,n.旅行
775,joy,dʒɔi,n．欢乐，高兴，乐趣
776,judge,dʒʌdʒ,"n．裁判；审判员；法官
v．审判；断定"
777,juice,dʒu:s,n．果汁
778,July,dʒʊˈlaɪ,n．七月
779,jump,dʒʌmp,n. & v．跳跃
780,June, dʒu:n,n．六月
781,junior,'dʒu:njə,adj．初级的；年少的
782,just,dʒʌst,adv．刚才；恰好；不过；仅
783,keen,ki:n,adj．热心的
784,keep,ki:p,"v．保持；保存；继续不断；培养，饲养
(kept，kept）"
785,key,ki:,n．钥匙；答案；关键
786,keyboard,'ki:bɔ:d,n．键盘
787,kick,kik,v．& n. 踢
788,kid,kid,"v．开玩笑
n.小孩"
789,kill,kil,v．杀死，弄死
790,kilogram,'kiləuɡræm,n．千克（公斤）
791,kilometre,'kiləmi:tə(r),n．千米（公里）
792,kind,kaind,"adj．善良的；友好的
n.种；类"
793,kindergarten,"'kində,ɡɑ:tən",n．幼儿园
794,kindness,'kaindnis,n．仁慈，好意
795,king,英[kɪŋ] 美[kɪŋ],n．国王
796,kitchen,'kitʃin,n．厨房
797,kite, kaɪt,n．风筝
798,knife,naif,n．小刀（复knives）
799,knock,nɔk,n.& v．敲（门）；打；击
800,know,nəu,"v．知道，了解；认识；懂得
（knew，known）"
801,knowledge,'nɔlidʒ,n．知识，学问
802,lab,læb,n．实验室
803,lady,'leidi,n．女士，夫人
804,lake,leik,n．湖
805,lamp,læmp,n．灯
806,land,lænd,"n．陆地；土地
v．登陆；降落"
807,language,'læŋɡwidʒ,n．语言
808,lantern,'læntən,n．灯笼
809,large,lɑ:dʒ,adj．大的；巨大的
810,last,"lɑ:st, læst","adj．最近刚过去的；最后的
adv．最近刚过去；最后地
n.最后"
811,late,leit,"adj．晚的；迟的
adv．晚地；迟地"
812,later,'leitə,"adj.晚些的，迟些的
adv.后来，以后"
813,laugh,"lɑ:f, læf",v．& n.笑，大笑；嘲笑
814,law,lɔ:,n．法律
815,lawyer,'lɔ:jə,n.律师
816,lay, lei,"v．放，搁；下（蛋）
（laid，laid）"
817,lazy,'leizi,adj．懒惰的
818,lead ,"[li:d], [led]","v．领导，带领
(led，led）"
819,learn,lə:n,"v．学习，学会
（learnt,learnt；learned,learned）"
820,leave,li:v,"v．离开；把……留下，剩下
n.准假
（left，left）"
821,lecture,'lektʃə,n．讲座，讲课，演讲
822,left, left,"adj．左边的
n.左，左边
adv．向左"
823,leg,leɡ,n．腿
824,lend,lend,"v．借（出）；把……借给
（lent，lent）"
825,length,"leŋθ, leŋkθ",n．长度
826,lesson,'lesən,n．课；功课；教训
827,let,let,"v．让
（let，let）"
828,letter,'letə,n．信；字母
829,level,'levəl,n．水平线，水平
830,librarian,lai'brεəriən,n．图书馆管理员
831,library,'laibrəri,n．图书馆；图书室
832,lie,lai,"n.& v．谎言；说谎
v.躺；卧；位于（lay，lain）"
833,life,laif,n．生命；生活；人生（复lives）
834,lift,lift,"n．（英）电梯
v．举起，抬起"
835,light, lait,"n．光；灯光
adj.明亮的；轻的；浅色的"
836,like,laik,"v．1．喜欢；喜爱2．想要（should / would like）
prep．像，跟……一样"
837,likely,'laikli,adj.很可能的
838,limited,'limitid,adj.有限的，限制的
839,line,lain,"n．排，行，线路
v.排队"
840,link,liŋk,v. & n.连接；联系
841,lion,'laiən,n．狮子
842,liquid,'likwid,n．液体
843,list,list,n．目录，清单
844,listen,'lisən,v．听，仔细听
845,litter,'litə,n．废物，垃圾，乱丢杂物
846,little,'litl,"adj．小的，少的（比较级less，最高级least）
adv.很少地，稍许
n.没有多少,一点"
847,live,"lɪv,lʌɪv",v．生活；居住；活着
848,local,'ləukəl,adj．当地的；地方的
849,locate,"英 [ləuˈkeit] 美 [ˈloˌket,loˈket]",v．坐落于，确定……的地方
850,location,ləu'keiʃən,n．位置；场所
851,lock,lɔk,n．＆ v．锁
852,London,'lʌndən,n．伦敦
853,lonely,'ləunli,adj.孤独的，寂寞的
854,long, lɒŋ,adj．（时间）长的，（距离）远的
855,look,luk,"v．看，观看；看起来
n.看，瞧"
856,lose,lu:z,v．失去；丢失（lost，lost）
857,lot, lɒt,n．许多
858,loud,laud,adj．大声的
859,loudly,'laudli,adv．大声地
860,love,lʌv,n．& v.爱；热爱；很喜欢
861,low,ləu,adj．& adv.低；矮
862,luck,lʌk,n．运气，好运
863,luckily,'lʌkili,adv．幸运地；侥幸地
864,lucky,'lʌki,adj．幸运的
865,luggage,'lʌɡidʒ,n.行李
866,lunch, lʌntʃ,n．午餐，午饭
867,machine,mə'ʃi:n,n．机器
868,mad,mæd,adj．发疯的；生气的
869,magazine, 'mæɡəzin,n．杂志
870,mail,meil,"n．（美）邮件，邮递
v．邮寄"
871,main,mein,adj．主要的
872,mainly,'meinli,adv．主要地
873,make,meik,"v．制造，做；使得
(made, made) "
874,male,meil,adj．男（性）的；雄的，男性
875,mall,mɔ:l,n．大型商场
876,man,mæn,n．成年男人；人；人类(复men）
877,manage, 'mænɪdʒ,v．管理，经营；处理；设法对付
878,manager,'mænidʒə,n．经理
879,manner,'mænə,n．方式，态度，举止
880,many,'meni,"adj．许多的
pron．许多人（或物）
（more，most）"
881,map,mæp,n．地图
882,March,ma:tʃ,n．三月
883,mark, 'mɑ:k,"n．标记，记号；符号；（考试等）分数
v．标明；用记号于；给……打分数"
884,market, 'mɑ:kit,n．市场；集市
885,marry,'mæri,v.（使）成婚，结婚
886,match,mætʃ,"n．比赛，竞赛；火柴
v．与……匹配"
887,material,mə'tiəriəl,n.材料，原料
888,maths,mæθs,n．（通常做单数用）数学(mathematics) 
889,matter, 'mætə,"n．要紧事，麻烦事，事情；问题；物质
v．（用于否定句和疑问句）要紧，有关系"
890,May,mei,n．五月
891,may,mei,aux．v．可以；也许，可能（might）
892,maybe,'meibi,adv．可能，大概；也许
893,meal,mi:l,n．一餐（饭）
894,mean, mi:n,"v．意思是；意味着
（meant，meant）"
895,meat,mi:t,n．肉
896,medical,'medikəl,adj．医学的；医疗的
897,medicine,'medisin,n．药
898,medium,"'mi:diəm, -djəm",adj．中间的；中等的
899,meet,mi:t,"v．遇见，见到；会见；迎接；满足；会，集会
（met，met）"
900,meeting,'mi:tiŋ,n．会；集会；会见
901,member,'membə,n．成员，会员
902,memory,'meməri,n．回忆，记忆
903,menu,"'menju:, mə'nju:",n．菜单
904,message,'mesidʒ,n．消息；音信
905,metal,'metəl,n．金属
906,method,'meθəd,n．方法，办法
907,meter,mi:tə,n．米（公制长度单位）
908,middle, ˈmɪdl,n.中间；当中；中部
909,mile,mail,n．英里
910,milk,milk,n．牛奶
911,mind,maind,"n．思想；想法
v．介意；关心"
912,minus,'mainəs,prep．& adj.负的，减去的
913,minute, 'mɪnɪt,n．分钟；一会儿，瞬间
914,mirror,'mirə,n．镜子
915,miss, mɪs,v．1. 失去，错过，缺；2. 惦记
916,Miss, mɪs,n．小姐，女士（称呼未婚妇女）
917,mistake,mi'steik,"n．错误
v．弄错，误解"
918,mix,miks,v．混合，搅拌
919,mixture,'mikstʃə,n．混合物
920,model,'mɔdəl,n．模型，范例；模范；模特
921,modern,'mɔdən,adj．现代的
922,moment, ˈməʊmənt,n．片刻；瞬间
923,Monday,'mʌndi,n．星期一
924,money,'mʌni,n．钱；货币
925,monitor, ˈmɒnɪtə®,n．班长；监视器
926,monkey,'mʌŋki,n．猴子
927,month,mʌnθ,n．月；月份
928,moon,mu:n,n．月球，月亮
929,more,mɔ:,"adj．较多的；更大的；更多的
adv．再；更
n.更多的量
（many或much的比较级）"
930,morning,'mɔ:niŋ,n．早晨，上午
931,most,məust,"adj．最大的；最多的；大多数的；大部分的
adv．最
n.大部分；大多数
（many或much的最高级）"
932,mother,'mʌðə,n．母亲
933,motor,'məutə,n．发动机，引擎
934,motorcycle,"'məutə,saikl",n．摩托车
935,mountain,ˈmauntin，ˈmaʊntən,n．山，山脉
936,mouse,"maus, mauz",n．老鼠；（计算机）鼠标(复mice) 
937,mouth,mauθ,n．嘴，口
938,move, mu:v,v．移动，搬动，搬家
939,movie,'mu:vi,n．电影
940,Mr,'mistə(r),n．先生
941,Mrs,'misiz,n．夫人，太太
942,much,mʌtʃ,"adj．（修饰不可数名词）大量的，许多的
n.（表示不可数名词）大量，许多
adv．（修饰动词）非常；（加强比较级）更加
（more，most）"
943,mum,mʌm,n.（口语）妈妈
944,museum,mju:'ziəm,n．博物馆
945,mushroom,"'mʌʃru:m, -rum",n.蘑菇
946,music,'mju:zik,n．音乐；乐曲
947,must,"mʌst, 弱məst, məs, mst, ms",aux．v．必须；需要；应当；必定是，一定
948,name, neɪm,"n．名字，姓名，名称
v.命名，名叫"
949,narrow,'nærəu,adj．狭窄的
950,nation,'neiʃən,n.民族，国家
951,national,'næʃənəl,adj．全国性的；国家的；民族的
952,nationality,",næʃən'æliti",n．国籍
953,native,'neitiv,"adj.本地的；本国的；当地的
n.本地人；本国人"
954,natural,'nætʃərəl,adj.自然的，天然的
955,nature,'neitʃə,n．自然；本质
956,near,niə,"prep．在……附近
adj.近的，附近的
adv.附近，邻近"
957,nearby,'niə'bai,"adj．附近的
adv．在附近"
958,nearly,'niəli,adv.将近，几乎，差不多
959,necessary,'nesisəri,adj．必需的，必要的
960,need,ni:d,"aux．v． 必须
v.需要，必须
n.需要，需求，必要"
961,neighbor,'neibə,n．邻居
962,neighborhood, 'neɪbəhʊd,n．邻近地区，街坊
963,neither,"'naiðə, 'ni:-","pron．（两者）都不
adj.（两者）都不
adv．也不
conj．也不"
964,nervous,'nə:vəs,adj．紧张的
965,net,net,n.网
966,network,'netwə:k,n.网络；网络系统
967,never,'nevə,adv．决不；从来没有
968,new,"nju:, nu:",adj．新的；新鲜的
969,news,"nju:z, nu:z",n．新闻；消息
970,newspaper,"'nju:s,peipə, 'nju:z-",n．报纸
971,next,nekst,"adj．最近的；紧挨着的；隔壁的；下一次的
adv．最近地；然后；下一步"
972,nice,nais,adj．令人偷快的；好的；漂亮的
973,night,nait,n．夜；夜间
974,no,nəu,"adv．不，不是，没有，无
adj. 没有，无，不"
975,nobody,"'nəubədi, -bɔdi",pron．没有人，谁也不
976,noise,nɔiz,n．声音；噪声；响声
977,noisy, ˈnɔɪzi,adj．嘈杂的；喧闹的
978,none,nʌn,pron．没有任何东西；没有人
979,noodle,'nu:dl,n．面条
980,nor,"nɔ:, 弱 nə",conj．也不
981,north,nɔ:θ,"n．北的；朝北的；北方的
adj.北；北方；北部"
982,nose,nəuz,n．鼻子
983,not, nɒt,adv．不，没
984,note,nəut,n．便条，笔记；钞票
985,nothing,'nʌθiŋ,pron．没有东西；没有什么
986,notice,'nəutis,"n．布告；通知；注意
v．注意，注意到"
987,novel,'nɔvəl,n.小说
988,November,nəu'vembə,n．十一月
989,now,nau,adv．现在
990,nowadays,'nauədeiz,adv．当今，现在
991,nowhere,'nəuhwεə,adv.任何地方都不
992,number,'nʌmbə,n．数，数字；号码；数量
993,nurse,nə:s,n．护士；保育员
994,obey,əu'bei,v．服从；顺从；听从
995,observe, əbˈzɜ:v,v.观察；观测
996,occupation,",ɔkju'peiʃən",n．职业
997,ocean,'əuʃən,n．海洋
998,o’clock, o’clock,n.……点钟
999,October,ɔk'təubə,n．十月
1000,of,"ɔv, əv, v, f",prep．(表示所属、数量、其中等)……的
1001,off,"ɔ:f, ɔf",adv．1．离开；走开2．断掉（电、水等）
1002,offer,ˈɒfə,v．& n.提供
1003,office,"'ɔfis, 'ɔ:-",n.办公室
1004,officer,"'ɔfisə, 'ɔ:-",n.官员，办事员
1005,official, əˈfɪʃl,"adj.官方的，政府的；官员的
n.（公司、团体或政府的）官员"
1006,often,"'ɔfən, 'ɔftən, 'ɔ:-",adv.常常，经常
1007,oil,ɔil,n.油，石油
1008,ok, əʊˈkeɪ,adj.&adv.对，好，可以
1009,old,əuld,adj.年老的；古老的；旧的
1010,Olympic,əu'limpik,"adj.奥林匹克的
n.奥林匹克（运动会）"
1011,on,"ɔn, ɔ:n, ən, n","prep.在……之上；在……时刻；关于
adv.（穿、放……）上；（电、水等）接通；进行下去
adj.在上映"
1012,once,wʌns,adv.&conj.&n.一次；一度；从前
1013,one,wʌn,pron.一次；一度；从前
1014,only,'əunli,"adv.只；只是；仅仅
adj.唯一的；仅有的"
1015,onto,"'ɔntu, -tə",prep.到……上面
1016,open,'əupən,"v.打开；张开；开办；开设
adj.开着，开口的；敞开的；营业中"
1017,operate, ˈɒpəreɪt,v.动手术，开刀；操刀；运转
1018,operation,",ɔpə'reiʃən",n.手术
1019,opinion,ə'pinjən,n.观点，看法
1020,opposite,"'ɔpəzit, -sit",adj.&prep.在……对面；相对的；对立的
1021,or,"ɔ:, ə",conj.或者；还是；否则
1022,orange,"'ɔrindʒ, 'ɔ:-","n.橘子，橙，橙色
adj.橙色的"
1023,order,'ɔ:də,"n.命令，指示，顺序
v.命令；定购；点（菜、饮料等）"
1024,ordinary,"'ɔ:dinəri, -neri-",adj.普通的，平常的
1025,oraganization, ˌɔ:gənaɪˈzeɪʃn,n.组织；团体；机构
1026,organize,'ɔ:ɡənaiz,v.组织
1027,other,'ʌðə,"adj.其他的；另外的
pron.别人；别的东西"
1028,ought,ɔ:t,aux.v.(to)应该，应当
1029,out,aut,adv.向外，在外，离开
1030,outdoor,'əutdɔ:,adj.室外的
1031,outside,",aut'said, 'aut'said","prep.在……外
adv.在外面"
1032,oven,'ʌvən,n.炉子；烤箱
1033,over,'əuvə,"prep.在……上方；越过；遍及；超过
adv.结束；越过；翻转"
1034,own,əun,"adj.自己的
v.拥有"
1035,owner,'əunə,n.拥有者；物主
1036,Pacific,pə'sifik,n.太平洋
1037,pack,pæk,"n.包
v.打包"
1038,page,peidʒ,n.页；页码
1039,pain,pein,n.疼痛，疼
1040,paint, peɪnt,"v.油漆，粉刷，绘画
n.油漆；涂料；颜料"
1041,painting,'peintiŋ,n.画，油画，水彩画
1042,pair,pεə,n.一双；一对
1043,palace,'pælis,n.宫，宫殿
1044,pale,peil,adj.苍白的，灰白的
1045,panda,'pændə,n.熊猫
1046,paper,'peipə,n.（不可数）纸；（可数）报纸；考卷；文件
1047,parent,'pεərənt,n.父（母），（复数）双亲
1048,Paris,'pæris,n.（法国首都）巴黎
1049,park,pɑ:k,"n.公园
v.停放（车辆等）"
1050,part, pɑ:t,n.部分；角色；部件；零件
1051,partner,'pɑ:tnə,n.搭档，合作者
1052,party, ˈpɑ:ti,n.聚会，晚会；政党；党派
1053,pass,"pɑ:s, pæs",v.传，递；经过，路过；通过
1054,passage,ˈpæsɪdʒ,n.（文章等的）一节，一段；通道
1055,passenger,'pæsindʒə,n.乘客；旅客
1056,passport,"'pɑ:spɔ:t, 'pæs-",n.护照
1057,past,"pɑ:st, pæst","prep.（指时间等）过……；走过某地
n.过去；昔日；往事"
1058,patient, ˈpeɪʃnt,"n.病人
adj.耐心的"
1059,pay, peɪ,"v.付钱，给……报酬(paid,paid)
n.工资"
1060,P.E., P.E.,体育
1061,peace,pi:s,n.和平
1062,pear,pεə,n.梨
1063,pearl,pə:l,n.珍珠
